newid	Group1	Group	Country_of_origin	IRRIseedbankID	HCA	CFA	LPA	FLA	SPLT
IRGC117429_1	SP404	INDICA	Bangladesh	IRGC117429	1.325755632	0.456622773	1.801086576	0.484759672	0.220912086
IRGC117429_2	SP404	INDICA	Bangladesh	IRGC117429	1.319129475	0.463594113	1.74851034	0.467760844	0.190393619
IRGC117429_3	SP404	INDICA	Bangladesh	IRGC117429	1.292296478	0.460108443	1.815282159	0.478898007	0.207733657
IRGC117429_4	SP404	INDICA	Bangladesh	IRGC117429	1.732213258	0.453137103	1.735716789	0.522860492	0.196982833
IRGC117429_5	SP404	INDICA	Bangladesh	IRGC117429	1.574950781	0.484508133	1.414300736	0.343493552	0.23200971
IRGC117429_6	SP404	INDICA	Bangladesh	IRGC117429	1.644237517	0.477536793	1.593410445	0.43024619	0.21813768
IRGC117429_7	SP404	INDICA	Bangladesh	IRGC117429	1.92355025	0.481022463	1.413424465	0.335287222	0.25906017
IRGC117429_8	SP404	INDICA	Bangladesh	IRGC117429	1.600451021	0.467079783	1.623028391	0.421453693	0.204265649
IRGC117429_9	SP404	INDICA	Bangladesh	IRGC117429	1.571437634	0.470565453	1.581317911	0.434349355	0.238945726
IRGC117429_10	SP404	INDICA	Bangladesh	IRGC117429	1.846398846	0.474051123	1.520679986	0.407971864	0.19559563
IRGC117459_1	SP149	INDICA	Bangladesh	IRGC117459	1.16169012	0.505422153	1.342271293	0.881008206	0.276400208
IRGC117459_2	SP149	INDICA	Bangladesh	IRGC117459	1.172408125	0.501936483	1.379775675	0.892731536	0.324605514
IRGC117459_3	SP149	INDICA	Bangladesh	IRGC117459	1.116181159	0.494965143	1.33999299	0.852286049	0.270504595
IRGC117459_4	SP149	INDICA	Bangladesh	IRGC117459	1.108581496	0.498450813	1.294076411	0.857561547	0.303450668
IRGC117459_5	SP149	INDICA	Bangladesh	IRGC117459	0.936139669	0.508907823	1.090080617	0.799531067	0.265649384
IRGC117459_6	SP149	INDICA	Bangladesh	IRGC117459	0.849209469	0.522850503	0.987556958	0.847596717	0.29998266
IRGC117459_7	SP149	INDICA	Bangladesh	IRGC117459	0.918181204	0.512393493	1.07658605	0.614888628	0.329113924
IRGC117459_8	SP149	INDICA	Bangladesh	IRGC117459	0.919235708	0.519364833	1.029092184	0.926729191	0.280215016
IRGC117459_9	SP149	INDICA	Bangladesh	IRGC117459	0.838632596	0.526336174	0.865054329	0.83059789	0.271198197
IRGC117459_10	SP149	INDICA	Bangladesh	IRGC117459	0.85233761	0.515879163	1.036452857	0.647127784	0.319403503
IRGC117545_1	SP157	INDICA	India	IRGC117545	1.477663757	0.564678544	0.295653698	0.137749121	0.178255592
IRGC117545_2	SP157	INDICA	India	IRGC117545	1.600142323	0.561192874	0.163862601	0.113716295	0.23651812
IRGC117545_3	SP157	INDICA	India	IRGC117545	1.624680324	0.557707204	0.170522257	0.140093787	0.220565285
IRGC117545_4	SP157	INDICA	India	IRGC117545	0.888480181	0.540278854	0.085699264	0.101992966	0.220218484
IRGC117545_5	SP157	INDICA	India	IRGC117545	1.115814852	0.550735864	0.157728707	0.110785463	0.192474423
IRGC117545_6	SP157	INDICA	India	IRGC117545	0.335820268	0.547250194	0.078689099	0.086166471	0.231316109
IRGC117545_7	SP157	INDICA	India	IRGC117545	0.889672616	0.536793184	0.077111812	0.121922626	0.240332929
IRGC117545_8	SP157	INDICA	India	IRGC117545	1.252065927	0.543764524	0.070276902	0.136576788	0.212935668
IRGC117545_9	SP157	INDICA	India	IRGC117545	0.289010948	0.554221534	0.177532422	0.113716295	0.199063638
IRGC117545_10	SP157	INDICA	India	IRGC117545	0.770243417	0.568164214	0.269190326	0.15123095	0.192127623
IRGC117598_1	SP95	INDICA	India	IRGC117598	0.337845152	0.589078234	0.212933754	0.080304807	0.238252124
IRGC117598_2	SP95	INDICA	India	IRGC117598	0.313221219	0.585592564	0.207851385	0.221570926	0.251777354
